orden,id_enunciado,banda,repeticion,timestamp,id_peticion,ms_stt,ms_llm,ms_tts,ms_total_servidor,ms_total_cliente
1,E03,corta,5,2026-09-02T03:54:45.963404+00:00,62c9b327,445.49,865.87,1060.35,2372.18,2390.56
2,E02,corta,5,2026-09-02T03:54:51.037147+00:00,c90a4210,382.16,1500.41,1173.99,3056.89,3071.45
3,E02,corta,10,2026-09-02T03:54:56.010325+00:00,8d23c440,345.52,1416.48,1195.25,2957.6,2970.73
4,E10,larga,1,2026-09-02T03:55:00.945303+00:00,734c2402,530.53,1218.22,1167.32,2916.56,2932.59
6,E01,corta,6,2026-09-02T03:55:09.081186+00:00,216cd5b5,395.31,1046.03,1141.74,2583.38,2598.25
7,E02,corta,1,2026-09-02T03:55:14.017771+00:00,13ae41a7,366.91,1313.44,1225.35,2906.03,2934.27
8,E01,corta,8,2026-09-02T03:55:18.538665+00:00,613b8dc3,348.67,1066.77,1090.43,2506.22,2518.63
9,E06,media,2,2026-09-02T03:55:23.552775+00:00,9751028a,488.89,1264.34,1242.16,2995.87,3011.8
10,E09,larga,8,2026-09-02T03:55:28.779888+00:00,4d37dfe6,473.62,1447.72,1289.29,3211.14,3224.7
11,E04,media,8,2026-09-02T03:55:34.032103+00:00,1f58c994,484.12,1482.74,1228.99,3196.21,3249.7
12,E01,corta,2,2026-09-02T03:55:39.027561+00:00,3a244ddd,417.46,1230.47,1279.52,2927.77,2995.41
14,E07,media,6,2026-09-02T03:55:48.122996+00:00,706ab008,440.83,1522.12,1387.0,3350.37,3381.74
15,E03,corta,8,2026-09-02T03:55:52.932359+00:00,90c38bd3,355.69,1294.74,1136.78,2787.59,2807.14
16,E06,media,5,2026-09-02T03:55:58.327174+00:00,7104883f,454.26,1537.59,1384.99,3377.24,3392.51
17,E09,larga,5,2026-09-02T03:56:03.139087+00:00,7e3a9cd6,470.78,1152.84,1170.95,2795.06,2809.67
18,E03,corta,10,2026-09-02T03:56:07.693125+00:00,9b1ec915,340.73,1112.02,1071.49,2524.61,2553.62
19,E07,media,8,2026-09-02T03:56:13.167371+00:00,caa3bb4c,468.75,1568.01,1418.03,3455.24,3471.86
21,E01,corta,4,2026-09-02T03:56:21.126357+00:00,d5ffdb01,354.84,972.57,1173.12,2500.85,2516.27
22,E02,corta,3,2026-09-02T03:56:25.919278+00:00,0dbfb14a,351.84,1269.16,1158.09,2779.38,2790.72
23,E03,corta,4,2026-09-02T03:56:30.446692+00:00,a6dad7f7,378.37,1076.64,1057.44,2512.73,2525.16
24,E07,media,10,2026-09-02T03:56:35.542408+00:00,f2e912d4,458.74,1404.97,1218.04,3082.08,3096.65
25,E01,corta,9,2026-09-02T03:56:40.683988+00:00,a00782f1,356.14,1510.89,1257.02,3124.4,3139.31
26,E10,larga,5,2026-09-02T03:56:45.676850+00:00,c821d141,511.82,1252.91,1205.05,2970.25,2990.4
27,E04,media,9,2026-09-02T03:56:50.548561+00:00,3c33d512,483.89,1185.76,1154.79,2824.8,2869.28
28,E07,media,3,2026-09-02T03:56:55.837009+00:00,67a85cf3,483.19,1502.58,1279.34,3265.54,3287.64
29,E08,larga,9,2026-09-02T03:57:01.250850+00:00,0f282277,484.19,1645.58,1265.96,3396.21,3411.5
30,E04,media,4,2026-09-02T03:57:06.078270+00:00,a9e4ee8b,444.86,1229.26,1131.96,2806.44,2825.96
31,E09,larga,1,2026-09-02T03:57:11.389643+00:00,8379eaac,475.7,1463.7,1353.02,3292.79,3308.77
32,E08,larga,5,2026-09-02T03:57:17.055594+00:00,4ec56257,487.83,1794.99,1356.14,3646.7,3663.73
33,E10,larga,6,2026-09-02T03:57:22.012118+00:00,44dc6ba6,518.25,1136.7,1281.37,2936.93,2954.24
34,E04,media,7,2026-09-02T03:57:27.250899+00:00,e7a1ad7c,525.44,1416.43,1268.51,3210.7,3236.51
35,E05,media,8,2026-09-02T03:57:32.250894+00:00,a7b29689,451.01,1288.33,1243.19,2982.84,2997.62
36,E05,media,5,2026-09-02T03:57:37.699295+00:00,1b7290ba,467.64,1577.32,1388.36,3433.74,3448.5
38,E03,corta,6,2026-09-02T03:57:45.311113+00:00,035f7de6,367.89,680.24,1139.9,2188.44,2200.64
39,E06,media,9,2026-09-02T03:57:50.733170+00:00,ffe4efa7,471.23,1527.86,1402.36,3401.88,3419.77
40,E03,corta,2,2026-09-02T03:57:55.384869+00:00,dad99cf5,366.33,899.34,1354.93,2620.99,2649.29
41,E07,media,4,2026-09-02T03:58:00.773601+00:00,dbe67127,516.29,1447.06,1406.73,3370.54,3386.48
42,E04,media,3,2026-09-02T03:58:06.131906+00:00,14242be2,441.3,1497.38,1401.26,3340.4,3358.85
43,E10,larga,4,2026-09-02T03:58:11.677520+00:00,748376ad,509.87,1741.97,1273.43,3525.81,3543.19
44,E01,corta,5,2026-09-02T03:58:16.177715+00:00,583e4bea,335.38,1042.1,1108.56,2486.35,2498.64
45,E09,larga,2,2026-09-02T03:58:20.794234+00:00,ae26d7ea,458.73,963.35,1176.41,2598.91,2614.27
46,E07,media,7,2026-09-02T03:58:26.477976+00:00,ac183335,480.87,1727.73,1434.85,3643.85,3681.36
47,E02,corta,7,2026-09-02T03:58:31.886482+00:00,b8528f0b,405.47,1598.36,1385.5,3389.64,3406.23
48,E01,corta,7,2026-09-02T03:58:36.547119+00:00,675c2a4d,438.7,1091.78,1114.19,2645.04,2659.66
49,E08,larga,1,2026-09-02T03:58:42.129416+00:00,424719b3,496.81,1676.63,1388.57,3562.53,3579.87
51,E10,larga,10,2026-09-02T03:58:51.107049+00:00,66b08708,478.3,1519.95,1283.92,3282.68,3303.58
52,E07,media,5,2026-09-02T03:58:56.458712+00:00,6cb51618,474.0,1517.77,1340.63,3332.72,3349.25
53,E03,corta,1,2026-09-02T03:59:00.957149+00:00,579eaf10,374.43,1078.81,1027.58,2481.1,2496.06
54,E02,corta,6,2026-09-02T03:59:06.521033+00:00,8048aff7,422.05,1576.31,1513.31,3511.99,3563.7
55,E07,media,2,2026-09-02T03:59:11.755828+00:00,d16b4ecd,482.78,1474.83,1257.61,3215.65,3232.48
56,E09,larga,4,2026-09-02T03:59:17.500763+00:00,539241cc,551.52,1735.09,1430.54,3717.71,3742.57
57,E09,larga,6,2026-09-02T03:59:22.903646+00:00,3940de21,494.57,1575.56,1307.94,3378.48,3399.88
58,E09,larga,7,2026-09-02T03:59:27.470775+00:00,90da83b2,513.3,921.73,1115.85,2551.38,2564.87
59,E03,corta,3,2026-09-02T03:59:31.993265+00:00,fa2c7802,369.02,1016.58,1122.47,2508.44,2520.26
60,E03,corta,7,2026-09-02T03:59:36.771839+00:00,c7c9b1d2,449.18,1140.7,1168.33,2758.55,2779.43
61,E05,media,3,2026-09-02T03:59:42.496142+00:00,4d25622c,480.64,1735.86,1482.27,3699.23,3721.95
62,E06,media,1,2026-09-02T03:59:48.123750+00:00,98e25c5b,481.46,1635.92,1473.08,3590.82,3625.21
63,E07,media,1,2026-09-02T03:59:53.771830+00:00,b9f1adbe,490.16,1777.0,1364.6,3632.12,3645.81
64,E08,larga,7,2026-09-02T03:59:59.457449+00:00,67434dd9,499.66,1744.48,1423.0,3667.6,3683.06
65,E03,corta,9,2026-09-02T04:00:04.301160+00:00,3e6c7ce1,342.34,1280.01,1197.27,2820.01,2841.41
66,E10,larga,2,2026-09-02T04:00:09.362633+00:00,d4cf75e7,515.05,1221.62,1307.35,3044.61,3060.25
67,E10,larga,8,2026-09-02T04:00:14.834293+00:00,c73ad114,529.86,1496.56,1422.26,3449.32,3469.27
68,E04,media,5,2026-09-02T04:00:20.372516+00:00,c15fb4ff,474.58,1690.53,1337.55,3503.06,3535.89
69,E01,corta,10,2026-09-02T04:00:25.433014+00:00,f112881e,394.78,1239.42,1403.47,3038.0,3058.15
70,E01,corta,3,2026-09-02T04:00:29.992692+00:00,6133489b,348.0,1018.98,1177.23,2544.67,2557.47
71,E01,corta,1,2026-09-02T04:00:34.871265+00:00,bc263f6b,370.96,1197.82,1293.17,2862.3,2878.96
72,E06,media,10,2026-09-02T04:00:40.198539+00:00,52e91f37,462.43,1489.64,1354.68,3307.11,3325.09
74,E04,media,10,2026-09-02T04:00:48.939560+00:00,7ec82c66,450.53,1323.58,1435.21,3209.79,3231.35
75,E04,media,6,2026-09-02T04:00:54.124076+00:00,c36f3728,488.5,1403.32,1258.51,3150.71,3182.27
76,E10,larga,9,2026-09-02T04:00:59.260403+00:00,decafe99,523.88,1292.8,1289.02,3106.27,3134.07
77,E06,media,3,2026-09-02T04:01:04.268300+00:00,9db7b8e6,514.18,1193.14,1260.48,2968.14,3005.42
78,E02,corta,8,2026-09-02T04:01:09.110234+00:00,046af13e,361.22,1285.85,1179.43,2826.88,2841.72
79,E05,media,9,2026-09-02T04:01:14.558843+00:00,42629b95,449.85,1595.2,1382.65,3428.04,3446.21
80,E08,larga,8,2026-09-02T04:01:20.120762+00:00,1873d0a8,542.22,1510.93,1382.82,3436.5,3559.72
81,E05,media,7,2026-09-02T04:01:25.465451+00:00,314e522f,463.69,1395.56,1466.98,3326.66,3342.43
