orden,id_enunciado,banda,repeticion,timestamp,id_peticion,ms_stt,ms_llm,ms_tts,ms_total_servidor,ms_total_cliente
1,E03,corta,5,2026-09-02T03:18:55.938842+00:00,a1f3c751,332.16,894.23,1018.64,2245.44,2265.77
2,E02,corta,5,2026-09-02T03:19:00.720727+00:00,a0b5ec5f,334.55,1318.07,1113.59,2766.66,2779.54
3,E02,corta,10,2026-09-02T03:19:05.927060+00:00,229eae94,337.12,1617.73,1234.32,3189.52,3205.14
4,E10,larga,1,2026-09-02T03:19:10.458321+00:00,2b344f00,523.82,872.71,1079.75,2476.83,2528.92
5,E06,media,7,2026-09-02T03:19:15.781111+00:00,77ca6248,503.91,1469.04,1330.4,3303.73,3320.53
6,E01,corta,6,2026-09-02T03:19:21.017225+00:00,13dc83a6,318.53,1593.76,1304.48,3217.14,3233.63
7,E02,corta,1,2026-09-02T03:19:26.257561+00:00,a155120c,355.83,1593.87,1268.76,3220.07,3238.04
8,E01,corta,8,2026-09-02T03:19:31.262846+00:00,3be285b7,352.52,1419.35,1214.19,2986.46,3003.1
9,E06,media,2,2026-09-02T03:19:36.256046+00:00,9692a09e,424.13,1378.61,1169.06,2972.19,2992.91
10,E09,larga,8,2026-09-02T03:19:41.388570+00:00,d6207a39,483.49,1299.46,1324.43,3107.91,3130.11
11,E04,media,8,2026-09-02T03:19:46.608596+00:00,2a2690b9,474.22,1524.08,1200.56,3199.21,3217.67
12,E01,corta,2,2026-09-02T03:19:51.564098+00:00,61b5eddf,326.6,1371.38,1224.37,2922.66,2953.27
14,E07,media,6,2026-09-02T03:20:00.444709+00:00,2fb8491b,509.1,1546.43,1403.57,3459.52,3476.56
15,E03,corta,8,2026-09-02T03:20:04.944090+00:00,fd64ace0,370.19,1029.98,1080.39,2480.85,2498.07
16,E06,media,5,2026-09-02T03:20:10.327785+00:00,091503d5,488.11,1510.64,1356.38,3355.53,3381.45
17,E09,larga,5,2026-09-02T03:20:15.864631+00:00,f0638612,550.18,1603.79,1342.92,3499.14,3534.49
18,E03,corta,10,2026-09-02T03:20:20.243250+00:00,6b5e79e5,401.7,927.9,1012.28,2342.21,2376.4
20,E08,larga,4,2026-09-02T03:20:29.205485+00:00,335cace8,507.38,1524.39,1317.84,3350.02,3372.01
21,E01,corta,4,2026-09-02T03:20:34.210449+00:00,702f7b71,412.64,1274.54,1283.72,2971.22,3002.77
22,E02,corta,3,2026-09-02T03:20:39.022754+00:00,610feae7,351.51,1280.87,1166.91,2799.58,2812.54
23,E03,corta,4,2026-09-02T03:20:43.786966+00:00,d3432413,369.9,1283.79,1095.7,2749.68,2762.0
24,E07,media,10,2026-09-02T03:20:48.749316+00:00,fa886503,447.74,1269.82,1210.94,2928.89,2960.16
27,E04,media,9,2026-09-02T03:21:00.225727+00:00,47e55561,462.57,1277.58,1345.5,3086.03,3102.38
28,E07,media,3,2026-09-02T03:21:05.803054+00:00,2bfd29e0,522.56,1503.49,1530.61,3557.07,3575.01
29,E08,larga,9,2026-09-02T03:21:11.588523+00:00,ae42c7fc,564.96,1909.47,1288.66,3763.63,3783.16
30,E04,media,4,2026-09-02T03:21:16.413639+00:00,6b1d186a,461.55,1174.03,1172.03,2808.0,2822.29
31,E09,larga,1,2026-09-02T03:21:21.765482+00:00,4663fffb,463.86,1489.66,1380.49,3334.45,3349.94
33,E10,larga,6,2026-09-02T03:21:30.026083+00:00,f94371f1,496.69,1089.57,1266.4,2853.16,2870.73
34,E04,media,7,2026-09-02T03:21:34.978089+00:00,887ff5a4,470.59,1246.11,1218.8,2935.82,2951.19
35,E05,media,8,2026-09-02T03:21:40.071212+00:00,b9081f40,426.2,1316.31,1328.64,3071.52,3090.74
36,E05,media,5,2026-09-02T03:21:45.322848+00:00,c1e273bb,547.81,1453.35,1228.56,3230.37,3249.43
38,E03,corta,6,2026-09-02T03:21:52.806297+00:00,93120a31,369.17,705.03,1201.33,2275.79,2289.57
40,E03,corta,2,2026-09-02T03:22:00.790411+00:00,7a939a1d,343.46,815.45,1078.34,2237.53,2250.79
41,E07,media,4,2026-09-02T03:22:06.300514+00:00,aa58c1bd,457.76,1626.29,1408.63,3493.08,3509.49
42,E04,media,3,2026-09-02T03:22:11.463904+00:00,af3b9172,472.85,1438.64,1227.81,3139.67,3161.08
43,E10,larga,4,2026-09-02T03:22:16.769508+00:00,17733ab7,559.37,1346.49,1363.6,3269.95,3303.34
44,E01,corta,5,2026-09-02T03:22:21.285797+00:00,860d9123,334.17,1058.3,1109.03,2501.79,2514.06
46,E07,media,7,2026-09-02T03:22:29.994044+00:00,301551dd,450.21,1201.6,1326.94,2979.15,3115.91
47,E02,corta,7,2026-09-02T03:22:35.424706+00:00,f7be0ce2,352.77,1735.66,1324.56,3413.33,3430.05
48,E01,corta,7,2026-09-02T03:22:40.077639+00:00,9401d7a5,337.31,1163.12,1137.82,2638.54,2650.68
49,E08,larga,1,2026-09-02T03:22:45.780304+00:00,24a92312,621.6,1623.49,1432.41,3678.1,3700.26
51,E10,larga,10,2026-09-02T03:22:53.778716+00:00,0fa03d2e,548.24,755.6,1076.55,2381.1,2398.09
